"","value_sqft","qrtmile","dist","condition","medInc","vacRate"
"5929",115.659340659,1,673.772682378,1,46174,0.164270152505447
"5930",23.8095238095,0,6777.91981979,0,29202,0.266383495145631
"5931",23.851590106,0,6759.95198441,0,29202,0.266383495145631
"5932",23.8095238095,0,6791.4131739,0,29202,0.266383495145631
"5933",23.7719298246,0,6774.05233256,0,29202,0.266383495145631
"5934",23.8095238095,0,6805.133768,0,29202,0.266383495145631
"5935",14.3362831858,0,6788.19115272,0,29202,0.266383495145631
"5936",23.6842105263,0,6818.76944928,0,29202,0.266383495145631
"5937",14.3109540636,0,6801.8521059,0,29202,0.266383495145631
"5938",14.2605633803,0,6832.44847937,0,29202,0.266383495145631
"5939",23.7719298246,0,6815.28948333,0,29202,0.266383495145631
"5940",23.9285714286,0,6846.19830269,0,29202,0.266383495145631
"5941",14.2605633803,0,6828.84757515,0,29202,0.266383495145631
"5942",23.9285714286,0,6860.06808496,0,29202,0.266383495145631
"5943",52.045256745,0,2192.35516461,0,23705,0.148928818244644
"5944",51.8134715026,0,2134.0319591,0,23705,0.148928818244644
"5945",52.045256745,0,2203.13711572,0,23705,0.148928818244644
"5946",51.8134715026,0,2145.36750292,0,23705,0.148928818244644
"5947",51.9514310494,0,2214.04368893,0,23705,0.148928818244644
"5948",51.8134715026,0,2156.54180407,0,23705,0.148928818244644
"5949",51.9514310494,0,2224.90416997,0,23705,0.148928818244644
"5950",51.8134715026,0,2167.85482285,0,23705,0.148928818244644
"5951",52.2270742358,0,2235.77751282,0,23705,0.148928818244644
"5952",51.8134715026,0,2179.05562341,0,23705,0.148928818244644
"5953",51.8134715026,0,2246.82944548,0,23705,0.148928818244644
"5954",51.8134715026,0,2189.95333591,0,23705,0.148928818244644
"5955",51.9514310494,0,2257.27647938,0,23705,0.148928818244644
"5956",75.9259259259,0,9728.67961165,0,38963,0.0639963167587477
"5957",73.0574324324,0,9830.16811844,0,38963,0.0639963167587477
"5958",75.2777777778,0,9739.70756041,0,38963,0.0639963167587477
"5959",75.2777777778,0,9750.8991213,0,38963,0.0639963167587477
"5960",36.4116094987,0,9846.96987327,0,38963,0.0639963167587477
"5961",75.2777777778,0,9762.41034581,0,38963,0.0639963167587477
"5962",69.7459584296,0,9911.01434265,0,30921,0.0377358490566038
"5963",69.5919938414,0,9922.95077475,0,30921,0.0377358490566038
"5964",75.9259259259,0,9773.94271382,0,38963,0.0639963167587477
"5965",69.0531177829,0,9935.17006434,0,30921,0.0377358490566038
"5966",74.9103942652,0,9786.00199543,0,38963,0.0639963167587477
"5967",69.5919938414,0,9924.54013344,0,30921,0.0377358490566038
"5968",69.0531177829,0,9909.4363864,0,30921,0.0377358490566038
"5969",82.4750830565,1,629.947256588,0,46174,0.164270152505447
"5970",118.149717514,1,685.481913546,1,46174,0.164270152505447
"5971",50.0791139241,1,643.041384524,0,46174,0.164270152505447
"5972",111.452879581,1,697.229596088,1,46174,0.164270152505447
"5973",50.0791139241,1,656.118532214,0,46174,0.164270152505447
"5974",50.0791139241,1,669.39822728,0,46174,0.164270152505447
"5975",51.6003122561,1,721.805136177,0,46174,0.164270152505447
"5976",49.3788819876,1,682.380865762,0,46174,0.164270152505447
"5977",159.951845907,1,733.759273688,1,46174,0.164270152505447
"5978",80,1,695.538409538,0,46174,0.164270152505447
"5979",52.9459241324,1,745.984375676,0,46174,0.164270152505447
"5980",196.843853821,1,708.593275402,1,46174,0.164270152505447
"5981",72.4968314322,1,758.320543112,0,46174,0.164270152505447
"5982",23.7676056338,0,6842.73536347,0,29202,0.266383495145631
"5983",39.2857142857,0,6873.89843152,1,29202,0.266383495145631
"5984",187.777777778,0,35866.1331989,0,51579,0.0335790335790336
"5985",191.111111111,0,35720.3049194,0,51579,0.0335790335790336
"5986",188.222222222,0,35878.9686621,0,51579,0.0335790335790336
